"id","first_name","middle_name","lastname","coauthor_lastnames","topics","cities","countries","orcid"
1,"kalid",NA,"abdlslam","[""howard"",""thumbikat"",""bonnaire"",""oleksak"",""saleh""]","[""Female"",""Magnetic Resonance Imaging"",""Spondylolisthesis"",""Sacrum"",""Spinal Fractures"",""Humans"",""Aged"",""Fracture Fixation, Intramedullary"",""Equipment Safety"",""Radiation Protection"",""Tibial Fractures"",""Bone Screws"",""Equipment Design"",""Bone Nails"",""Models, Biological"",""Adult"",""Pseudarthrosis"",""Tibia"",""Radiography"",""Musculoskeletal Diseases"",""External Fixators"",""Leg Length Inequality"",""Health Status Indicators"",""Osteotomy""]","[{""identifier"":2638077,""name"":""Sheffield""}]","[{""identifier"":2635167,""name"":""United Kingdom""}]",NA
2,"p","d","abel","[""ockrim"",""lalani"",""pollock"",""price"",""langley"",""cafferty"",""shah"",""abel"",""wilson""]","[""Risk Factors"",""Humans"",""Fractures, Spontaneous"",""Spinal Fractures"",""Androgen Antagonists"",""Prostatic Neoplasms"",""Male"",""Osteoporosis"",""Orchiectomy"",""Administration, Cutaneous"",""Injections, Intramuscular"",""Andropause"",""Liver"",""Estrogens"",""Enzyme Induction"",""Gonadotropin-Releasing Hormone"",""Toremifene"",""Bone Density Conservation Agents"",""Fractures, Bone"",""Testosterone"",""Risk Assessment"",""Vertebroplasty"",""Fractures, Compression"",""Female""]","[{""identifier"":2643743,""name"":""London""}]","[{""identifier"":2635167,""name"":""United Kingdom""}]",NA
3,"k",NA,"abida","[""syed"",""arshad"",""minakshi""]","[""Tomography, X-Ray Computed"",""Male"",""Paraparesis"",""Treatment Outcome"",""Humans"",""Middle Aged"",""Skull Fracture, Depressed""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
4,"a",NA,"walker","[""abou raya"",""helmii""]","[""Geriatric Assessment"",""Case-Control Studies"",""Absorptiometry, Photon"",""Humans"",""Osteoporosis"",""Aged, 80 and over"",""Female"",""Male"",""Heart Failure"",""Aged"",""Tumor Necrosis Factor-alpha"",""Cholecalciferol"",""Sunlight"",""Calcium, Dietary"",""Collagen Type I"",""Enzyme-Linked Immunosorbent Assay"",""Vitamin D"",""Cohort Studies"",""Parkinson Disease"",""Alkaline Phosphatase"",""Bone Density"",""Risk Factors"",""Peptides""]","[{""identifier"":361058,""name"":""Alexandria""}]","[{""identifier"":357994,""name"":""Egypt""}]",NA
5,"steven","a","abrams","[""perez"",""ellis"",""loddeke"",""shypailo"",""dawson hughes"",""looker"",""matkovic"",""weaver"",""marcus"",""heaney"",""harris"",""ceglia"",""rasmussen"",""dallal"",""uenishi"",""ishida"",""fujita"",""ohue"",""fujii"",""kaji"",""hirai"",""kakumoto"",""aloia"",""shieh"",""mikhail"",""dhaliwal"",""fazzari"",""ragolia"",""golden""]","[""Time Factors"",""Adrenal Cortex Hormones"",""Child"",""Adolescent"",""Absorptiometry, Photon"",""Humans"",""Bone and Bones"",""Arthritis, Juvenile"",""Treatment Outcome"",""Bone Density"",""Calcium"",""Outcome Assessment (Health Care)"",""Osteoporosis"",""Smoking"",""Pregnancy"",""Bone Development"",""Body Weight"",""Male"",""Nutritional Physiological Phenomena"",""Infant, Newborn"",""Female"",""Feeding and Eating Disorders"",""Aged"",""Adult"",""Body Mass Index"",""Child, Preschool"",""Infant"",""Amenorrhea"",""Menarche"",""Middle Aged"",""Fractures, Bone"",""Parathyroid Hormone"",""Calcium Isotopes"",""Health"",""Absorption"",""Algorithms"",""Health Status Indicators"",""Calcium, Dietary"",""Placebos"",""Cost-Benefit Analysis"",""Diagnostic Techniques, Endocrine"",""Nutritional Requirements"",""Osteoporosis, Postmenopausal"",""Animal Shells"",""Biological Availability"",""Calcium Chloride"",""Japan"",""Seaweed"",""Calcium Carbonate"",""Animals"",""Ostreidae"",""Biomarkers"",""Postmenopause"",""Dietary Supplements"",""Cholecalciferol"",""Seasons"",""Follow-Up Studies"",""Intestinal Absorption"",""Calcifediol"",""Bone Density Conservation Agents"",""Vitamin D Deficiency"",""New York"",""Double-Blind Method"",""Exercise"",""Risk Reduction Behavior""]","[{""identifier"":4699066,""name"":""Houston""}]","[{""identifier"":6252001,""name"":""United States""}]",NA
6,"stefan",NA,"majumdar","[""zaman"",""thurlimann"",""brauchli"",""pagani"",""luthi"",""huober"",""schonenberger"",""berthod"",""genton"",""simcock"",""giobbie hurder"",""johansson"",""goldhirsch"",""coates"",""price"",""gelber"",""debled"",""decensi"",""campone"",""monnier"",""tondini"",""mcintosh"",""guerrieri gonzaga"",""sun"",""gentilini"",""freilich"",""kelly"",""delaloge"",""costa"",""azim"",""amant"",""abulkhair"",""partridge"",""cardoso"",""meirow"",""peccatori"",""kaufmann"",""loibl"",""harbeck""]","[""Tamoxifen"",""Antineoplastic Combined Chemotherapy Protocols"",""Aged"",""Multivariate Analysis"",""Lumbar Vertebrae"",""Humans"",""Middle Aged"",""Hip"",""Retrospective Studies"",""Randomized Controlled Trials as Topic"",""Triazoles"",""Bone Density"",""Aged, 80 and over"",""Breast Neoplasms"",""Radiography"",""Female"",""Osteoporosis"",""Nitriles"",""Postmenopause"",""Drug Administration Schedule"",""Double-Blind Method"",""Collagen Type I"",""Osteoporosis, Postmenopausal"",""Biomarkers, Tumor"",""Peptides"",""Chemotherapy, Adjuvant"",""Osteocalcin"",""Antineoplastic Agents, Hormonal"",""Alkaline Phosphatase"",""Prospective Studies"",""Fertility Preservation"",""Mastectomy"",""Neoplasm Staging"",""Mammography"",""Research"",""Menopause, Premature"",""Pregnancy"",""Practice Guidelines as Topic"",""Genetic Counseling"",""Mass Screening"",""Antineoplastic Protocols"",""Adult"",""Disease Management"",""Age of Onset"",""Pregnancy Complications, Neoplastic"",""Magnetic Resonance Imaging""]","[{""identifier"":2659811,""name"":""Luzern""},{""identifier"":2661552,""name"":""Bern""}]","[{""identifier"":2658434,""name"":""Switzerland""}]",653524
7,"imelda",NA,"xu","[""eastell"",""todd"",""schollum"",""li yu"",""wijanto"",""hestiantoro"",""kuhn sherlock"",""kruger""]","[""Animals"",""Middle Aged"",""Indonesia"",""Food, Fortified"",""Osteoporosis, Postmenopausal"",""Vitamin D"",""Parathyroid Hormone"",""Bone Remodeling"",""Milk"",""Humans"",""Philippines"",""Postmenopause"",""Female""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
8,"antonio","j","aguiar","[""vulcano"",""teixeira"",""rahal"",""pereira júnior"",""rassy""]","[""Animals, Wild"",""Maxillary Fractures"",""Animals"",""Treatment Outcome"",""Boidae"",""Tomography, X-Ray Computed"",""Bone Plates"",""Radius Fractures"",""Ulna Fractures"",""Fractures, Malunited"",""Fracture Fixation"",""Osteotomy"",""Metatarsal Bones"",""Bone Nails"",""Fracture Healing"",""Fracture Fixation, Internal"",""Bone Screws"",""Birds""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
9,"i",NA,"majumdar","[""nuñez roldan""]","[""Female"",""Parathyroid Hormone"",""Postoperative Complications"",""Osteoporosis, Postmenopausal"",""Hepatitis, Autoimmune"",""Humans""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
10,"o",NA,"alade","[""jackson hutson"",""rochman""]","[""Ilizarov Technique"",""Male"",""Debridement"",""Female"",""Limb Salvage"",""Anti-Bacterial Agents"",""Arthrodesis"",""Osteomyelitis"",""Middle Aged"",""Fractures, Ununited"",""Osteogenesis, Distraction"",""Follow-Up Studies"",""Tibia"",""Adult"",""Treatment Outcome"",""Retrospective Studies"",""Humans"",""Calcaneus"",""Aged""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
