"id","first_name","middle_name","lastname","coinvestigator_lastnames","topics","cities","countries","orcid"
1,"c",NA,"walker","[""brazil"",""ballerup"",""riis"",""herriot""]","[""Calcitonin Gene-Related Peptide"",""Calcitonin"",""Vitamin D"",""Osteoporosis""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
2,"kantonsspital",NA,"aarau","[""gross""]","[""Osteoporotic Fractures"",""Osteoporosis, Postmenopausal"",""Osteoporosis""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
3,"kantonspital",NA,"wang","[""aebi"",""di bergamo"",""bern"",""bergonie"",""vergine"",""di riferimento oncologico aviano""]","[""Tamoxifen"",""Osteoporosis"",""Breast Neoplasms""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
4,"m",NA,"li","[""sherman""]","[""Osteoporosis""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
5,"paul",NA,"abel","[""nhs""]","[""Estradiol"",""Goserelin"",""Osteoporosis"",""Estrogens"",""Hot Flashes"",""Prostatic Neoplasms"",""Adenocarcinoma""]","[{""identifier"":2643743,""name"":""London""}]","[{""identifier"":2635167,""name"":""United Kingdom""}]",NA
6,"anna",NA,"walker","[]","[""Vitamins"",""Osteoporosis"",""Ergocalciferols"",""Vitamin D"",""Cholecalciferol"",""Sarcopenia""]","[{""identifier"":361058,""name"":""Alexandria""}]","[{""identifier"":357994,""name"":""Egypt""}]",NA
7,"s",NA,"abrams","[""abrams""]","[""Calcium, Dietary"",""Osteoporosis"",""Puberty, Precocious"",""Bone Diseases, Metabolic""]","[{""identifier"":4699066,""name"":""Houston""}]","[{""identifier"":6252001,""name"":""United States""}]",NA
8,"steve",NA,"abrams","[""abrams""]","[""Calcium, Dietary"",""Osteoporosis"",""Puberty, Precocious"",""Bone Diseases, Metabolic""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
9,"o",NA,"adeyemi","[""rothstein""]","[""Osteoporosis"",""Bone Diseases"",""HIV Infections"",""Communicable Diseases"",""Acquired Immunodeficiency Syndrome"",""Infection"",""Bone Diseases, Metabolic""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
10,"fibrosi",NA,"adulti","[""cistica"",""bianchi""]","[""Cystic Fibrosis"",""Fibrosis"",""Osteoporosis"",""Alendronate""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
11,"s",NA,"majumdar","[""aarau"",""di bergamo"",""bern"",""bergonie"",""vergine"",""di riferimento oncologico aviano""]","[""Tamoxifen"",""Osteoporosis"",""Breast Neoplasms""]","[{""identifier"":2659811,""name"":""Luzern""},{""identifier"":2661552,""name"":""Bern""}]","[{""identifier"":2658434,""name"":""Switzerland""}]",653524
12,"n.",NA,"al","[""krause"",""anna""]","[""Osteoporosis, Postmenopausal"",""Calcitonin"",""Osteoporosis"",""Calcitonin Gene-Related Peptide""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
13,"d",NA,"alberts","[""st. louis cape girardeau"",""pratt"",""disaia"",""campus""]","[""Ovarian Neoplasms"",""Osteoporosis"",""Diphosphonates""]","[{""identifier"":null,""name"":null}]","[{""identifier"":6252001,""name"":""United States""}]",NA
14,"grace","m","aldrovandi","[""hosp"",""jude""]","[""Bone Diseases, Metabolic"",""Lipodystrophy"",""HIV-Associated Lipodystrophy Syndrome"",""HIV Infections"",""Syndrome"",""Dyslipidemias"",""Osteoporosis""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",559803
15,"d",NA,"alekel","[""reddy""]","[""Bone Diseases, Metabolic"",""Osteoporosis""]","[{""identifier"":4846834,""name"":""Ames""},{""identifier"":4328676,""name"":""Iowa""}]","[{""identifier"":6252001,""name"":""United States""}]",NA
16,"yannick",NA,"allanore","[]","[""Arthritis"",""Arthritis, Rheumatoid""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
17,"k",NA,"allen","[""hazelett""]","[""Lung Diseases"",""Myocardial Ischemia"",""Coronary Artery Disease"",""Arteriosclerosis"",""Osteoarthritis"",""Pulmonary Disease, Chronic Obstructive"",""Osteoporosis"",""Diabetes Mellitus"",""Atrial Fibrillation"",""Chronic Disease"",""Stroke"",""Heart Failure""]","[{""identifier"":4259418,""name"":""Indianapolis""}]","[{""identifier"":6252001,""name"":""United States""}]",238516
18,"f",NA,"allen","[""goss""]","[""Osteoporosis"",""Breast Neoplasms""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
